Family_id,Total_members,Ancient,Euteleostomi,Amniotes,Placentals,Recent,Ohnologs,SSDs,Dominant,Recessive,Both,Unknown,None,Family_Root
Singleton,6711,1905,585,604,426,351,57,0,134,526,56,1891,4104,Singleton
1,34,16,11,7,0,0,16,18,1,2,2,21,8,Bilateria
10,7,4,1,2,0,0,2,5,0,0,1,6,0,Opisthokonta
100,26,0,8,11,5,1,0,26,2,7,2,12,3,Vertebrata
1000,2,2,0,0,0,0,2,0,0,0,0,2,0,Vertebrata
10014,2,1,1,0,0,0,0,2,1,0,0,1,0,LECA
1002,15,1,5,6,2,1,5,10,0,2,0,12,1,Bilateria
1003,3,3,0,0,0,0,0,3,0,1,0,0,2,Vertebrata
10032,2,2,0,0,0,0,0,2,0,0,0,2,0,LECA
10036,3,0,0,0,0,0,0,3,0,0,0,0,3,Homo sapiens
10038,3,0,1,1,1,0,0,3,0,0,0,2,1,LECA
1004,3,2,1,0,0,0,0,3,0,1,0,0,2,Bilateria
10049,2,0,0,0,0,0,0,2,0,0,0,0,2,Homo sapiens
1005,17,1,1,2,8,5,0,17,2,4,0,10,1,LECA
10051,3,0,0,0,0,2,0,3,0,0,0,0,3,Homininae
10056,3,0,0,0,0,2,0,3,0,0,0,1,2,Homininae
1006,10,9,1,0,0,0,0,10,2,4,0,3,1,LECA
10060,2,0,2,0,0,0,0,2,0,1,0,1,0,LECA
1008,3,0,3,0,0,0,0,3,0,0,0,3,0,Gnathostomata
10087,2,0,0,0,0,2,0,2,0,0,0,1,1,LECA
1009,3,2,0,0,1,0,3,0,2,0,0,1,0,Vertebrata
10094,3,0,0,0,3,0,0,3,0,0,0,2,1,Eutheria
10099,3,1,0,2,0,0,0,3,0,0,0,2,1,LECA
101,12,7,2,2,1,0,11,1,1,0,0,11,0,LECA
1010,5,1,1,3,0,0,2,3,0,0,0,4,1,LECA
1011,4,4,0,0,0,0,4,0,0,0,0,4,0,LECA
10114,2,2,0,0,0,0,0,2,0,0,0,2,0,Chordata
10128,2,2,0,0,0,0,0,2,0,1,0,0,1,Mammalia
1014,2,2,0,0,0,0,0,2,0,0,1,0,1,Homo sapiens
1016,6,1,0,1,2,2,0,6,0,1,0,4,1,Gnathostomata
10165,2,0,0,0,1,1,1,1,0,0,0,1,1,Vertebrata
10167,2,0,1,1,0,0,0,2,0,0,0,2,0,Gnathostomata
10181,3,0,0,0,3,0,0,3,0,0,0,1,2,Eutheria
10186,2,1,0,0,0,0,0,2,1,0,0,0,1,Eutheria
